;party_id;party_name
0;ALF;Alfa Energia
1;ATL;Atlante
2;BPP;BP
3;BLU;Blue Charge
4;INT;Bluint
5;BLW;Bluwalk
6;CAP;CAPWATT Services, S.A.
7;CPS;CEPSA
8;CME;CME
9;CAB;Cable Energia
10;CRB;CarbonFoote
11;CGG;Cargga Inteligente
12;CSC;Cascais Próxima – Gestão de Mobilidade, Espaços Urbanos e Energias, E.M. S.A
13;CG0;ChargeGuru
14;CPI;ChargePoint Network
15;CIR;Circuitos Energy Solutions
16;CEV;Cooperativa Elétrica de Vale d´Este
17;DTE;DTE
18;DCS;Digital Charging Solutions
19;DOU;Douromobe – Comercializadora de Energia, S.A.
20;PLG;E-plug
21;EDP;EDP Comercial
22;EML;EMEL
23;ENT;ENAT Energias
24;EPO;EPOCH
25;EGR;EVOLUT.Green
26;EZC;EZ-Charg3
27;EZU;EZU Energia
28;ZND;Easycharger, S.L
29;ECO;Ecochoice
30;ECI;Ecoinside
31;ELM;Electromaps
32;ELE;Eletec
33;EMA;Emacom
34;EMT;Emobtec
35;ENE;Enercom
36;ENG;Engie S.A.
37;EVP;Ev Power
38;GRC;Evaz
39;EVC;Evce
40;EVI;Evio
41;FAC;Factor Energia
42;GSF;GASFOMENTO
43;GLP;Galp
44;GLG;Galp
45;GEN;Generation Journey
46;GLD;Goldenergy
47;GRN;GreenCharge
48;HTB;Has-to-be
49;HLX;Helexia
50;HEX;Hexagonal Ocean
51;HGP;High Green Power
52;GCE;Hubject
53;IHM;IHOME
54;INF;INFOSISTEMA
55;IOY;IONITY
56;IBD;Iberdrola
57;FCT;Iberdrola | BP Pulse
58;IMG;Image4all
59;ITV;Instavolt Portugal
60;TRF;InterTrofa Supermercados
61;IVP;Intervilapraia Supermercados
62;JHO;JH Ornelas
63;JJT;JOÃO JACINTO TOMÉ, SA
64;KLC;KLC
65;KLS;KLC Serviços
66;LUZ;LUZiGÁS
67;LOG;Logical Gravity
68;LCG;Loulé Concelho Global
69;MEO;MEO Energia
70;MOB;MOBI.E
71;MOO;MOON-POWER
72;MAK;Maksu
73;MUV;Miio
74;MOA;Mobel
75;MLT;Mobiletric
76;SCR;Município de Santa Cruz
77;NEU;Neureifen
78;PET;Petroassist – Engenharia e Serviços, S.A
79;PLN;PlenoEnergia
80;PFU;Plug Four the World
81;HRZ;Power Dot
82;PRI;Prio
83;PRP;Propel
84;MOT;Renewing
85;REP;Repsol
86;SLX;SOLX
87;NRG;SUNENERGY
88;SEG;Segma
89;SLV;Silver Ridge
90;SIN;Sinal cabo
91;SDB;SodiBraga
92;SAR;Superareosa Supermercados, Lda
93;SFF;Superfafe
94;SGM;Superguimarães
95;VEI;Veimonte – Comércio de Veículos de Montemor, Lda
96;VIS;Visacasa
97;WEN;WENEA SERVICES SPAIN S.L.
98;TRK;WowPlug
99;PTE;Ynerluz
100;ZUN;Zunder
101;PAC;PACORP, LDA
102;FRI;Distrifrio Supermercados, Lda
103;FRR;FRONTROW, LDA
