address.country,tesla_only,all_evs,percent_all_evs
Austria,0,40,100.0
Belgium,1,20,95.2
Bulgaria,2,0,0.0
Croatia,7,1,12.5
Czech Rep.,0,7,100.0
Denmark,1,27,96.4
Finland,6,26,81.2
France,24,178,88.1
Germany,0,213,100.0
Greece,4,2,33.3
Hungary,0,10,100.0
Iceland,0,9,100.0
Ireland,5,4,44.4
Italy,15,76,83.5
Latvia,2,0,0.0
Liechtenstein,1,0,0.0
Lithuania,1,0,0.0
Luxembourg,0,2,100.0
Netherlands,1,49,98.0
Norway,5,129,96.3
Poland,14,0,0.0
Portugal,8,0,0.0
Romania,0,8,100.0
Serbia,2,0,0.0
Slovakia,0,5,100.0
Slovenia,3,5,62.5
Spain,7,65,90.3
Sweden,7,80,92.0
Switzerland,2,33,94.3
Turkey,0,6,100.0
United Kingdom,72,71,49.7
